player_id,search_full_name,full_name,position,team
8245,derrickdeese,Derrick Deese,TE,
4061,daviswebb,Davis Webb,QB,
3269,chrismoore,Chris Moore,WR,ARI
6970,stephensullivan,Stephen Sullivan,TE,
1944,alfredblue,Alfred Blue,RB,
8092,coreytaylor,Corey Taylor,RB,
6259,darnellholland,Darnell Holland,RB,
12374,brendenbates,Brenden Bates,TE,NYJ
2957,ernstbrunjr,Ernst Brun Jr,TE,
37,charlesjohnson,Charles Johnson,DL,
2789,luckywhitehead,Lucky Whitehead,WR,
6522,tjlinta,T.J. Linta,QB,
1911,williesnead,Willie Snead,WR,
1034,brandonbolden,Brandon Bolden,RB,
3673,nickrose,Nick Rose,K,
4798,cjgermany,C.J. Germany,WR,
2503,ajderby,A.J. Derby,TE,
520,johnconner,John Conner,RB,
5808,connorjessop,Connor Jessop,QB,
7216,giovanniricci,Giovanni Ricci,TE,
5242,dontezbyrd,Dontez Byrd,WR,
1664,ryanotten,Ryan Otten,TE,
3924,claytonechard,Clayton Echard,TE,
5026,trequansmith,Tre'Quan Smith,WR,DET
11647,kimanividal,Kimani Vidal,RB,LAC
6045,garyjennings,Gary Jennings,WR,
4821,jamaristaples,Jamari Staples,WR,
177,weswelker,Wes Welker,WR,
2282,fitzgeraldtoussaint,Fitzgerald Toussaint,RB,
1899,rayagnew,Ray Agnew,RB,
2400,mattjones,Matt Jones,RB,
6395,trinitybenson,Trinity Benson,WR,
1317,brandonbarden,Brandon Barden,TE,
1206,isaiahpead,Isaiah Pead,RB,
7852,torycarter,Tory Carter,RB,
11478,gavinholmes,Gavin Holmes,WR,
8549,trevonclark,Trevon Clark,WR,
11266,thyrickpitts,Thyrick Pitts,WR,
7608,khalilherbert,Khalil Herbert,RB,CHI
4227,harrisonbutker,Harrison Butker,K,KC
6402,stevensims,Steven Sims,WR,HOU
2658,ryanmueller,Ryan Mueller,RB,
5251,tylerdavis,Tyler Davis,K,
8484,kokieft,Ko Kieft,TE,TB
8213,daijeandixon,Dai'Jean Dixon,WR,
11226,tyjonlindsey,Tyjon Lindsey,WR,
1587,vancemcdonald,Vance McDonald,TE,
2471,michaelburton,Michael Burton,RB,DEN
7412,sandroplatzgummer,Sandro Platzgummer,RB,
7499,paulquessenberry,Paul Quessenberry,TE,
9488,jaxonsmithnjigba,Jaxon Smith-Njigba,WR,SEA
9510,lewnichols,Lew Nichols,RB,
11571,isaiahdavis,Isaiah Davis,RB,NYJ
7526,jaylenwaddle,Jaylen Waddle,WR,MIA
6738,cedricbenson,Cedric Benson,RB,
8425,playerinvalid,Player Invalid,RB,
4949,derriusguice,Derrius Guice,RB,
1137,juroncriner,Juron Criner,WR,
1045,trevorgraham,Trevor Graham,WR,
8115,jalenwydermyer,Jalen Wydermyer,TE,
6248,trevionthompson,Trevion Thompson,WR,
3386,thomasduarte,Thomas Duarte,TE,
394,darriusheywardbey,Darrius Heyward-Bey,WR,
2824,donteeadye,Donteea Dye,WR,
4508,gabemarks,Gabe Marks,WR,
11505,daviddurden,David Durden,WR,
2911,justinmanton,Justin Manton,K,
5911,jalenhurd,Jalen Hurd,WR,
195,courtneyroby,Courtney Roby,WR,
BAL,baltimoreravens,Unknown,DEF,BAL
3650,mauriceharris,Maurice Harris,WR,
2944,mattlacosse,Matt LaCosse,TE,NE
3036,mattlengel,Matt Lengel,TE,
6343,mannywilkins,Manny Wilkins,QB,
5132,stevenmitchell,Steven Mitchell,WR,
6993,dominickwoodanderson,Dominick Wood-Anderson,TE,
345,brianhoyer,Brian Hoyer,QB,
128,vincentjackson,Vincent Jackson,WR,
6820,clydeedwardshelaire,Clyde Edwards-Helaire,RB,KC
7008,brianlewerke,Brian Lewerke,QB,
5169,malikearl,Malik Earl,WR,
11931,austinreed,Austin Reed,QB,CHI
7713,jaelondarden,Jaelon Darden,WR,CLE
12333,dakereonjoyner,Dakereon Joyner,WR,
4784,levontewhitfield,Levonte Whitfield,WR,
2100,silasredd,Silas Redd,RB,
4666,younghoekoo,Younghoe Koo,K,ATL
5092,troyfumagalli,Troy Fumagalli,TE,
2197,brandincooks,Brandin Cooks,WR,DAL
1718,derekcarrier,Derek Carrier,TE,
3873,benroberts,Ben Roberts,WR,
6236,travonmcmillian,Travon McMillian,RB,
5870,danieljones,Daniel Jones,QB,NYG
8905,traviskoontz,Travis Koontz,TE,
12373,peterleblanc,Peter LeBlanc,WR,
5290,deontayburnett,Deontay Burnett,WR,
297,eddieroyal,Eddie Royal,WR,
2463,jessejames,Jesse James,TE,
4723,justinthomas,Justin Thomas,DB,
12250,rileysharp,Riley Sharp,TE,
4555,andyphillips,Andy Phillips,K,
3568,markenmichel,Marken Michel,WR,
5322,jameslooney,James Looney,TE,
8878,jaredscott,Jared Scott,TE,
4214,sheltongibson,Shelton Gibson,WR,
2391,davidjohnson,David Johnson,RB,
7064,darryntonevans,Darrynton Evans,RB,BUF
389,mattcassel,Matt Cassel,QB,
7088,xavierjones,Xavier Jones,RB,
3007,aviuscapers,Avius Capers,WR,
5844,tjhockenson,T.J. Hockenson,TE,MIN
3920,harveybinford,Harvey Binford,WR,
2835,paullasike,Paul Lasike,RB,
11947,austinjones,Austin Jones,RB,
154,tarvarisjackson,Tarvaris Jackson,QB,
10955,chadryland,Chad Ryland,K,
2088,andrewilliams,Andre Williams,RB,
4710,giopascascio,Gio Pascascio,WR,
1682,cierrewood,Cierre Wood,RB,
565,tonymoeaki,Tony Moeaki,TE,
980,colinkaepernick,Colin Kaepernick,QB,
3664,jdmckissic,J.D. McKissic,RB,
6193,colemurphy,Cole Murphy,K,
7933,alexkessman,Alex Kessman,K,CAR
4127,cjbeathard,C.J. Beathard,QB,
613,brandonlafell,Brandon LaFell,WR,
682,darrelyoung,Darrel Young,RB,
5957,isaacnauta,Isaac Nauta,TE,GB
7601,rondalemoore,Rondale Moore,WR,ATL
611,jimmyclausen,Jimmy Clausen,QB,
367,jaredcook,Jared Cook,TE,
4630,itaviusmathers,I'Tavius Mathers,RB,
5196,ethanwolf,Ethan Wolf,TE,
1650,cameronmarshall,Cameron Marshall,RB,
5170,philliplindsay,Phillip Lindsay,RB,
6790,dandreswift,D'Andre Swift,RB,CHI
6146,kadensmith,Kaden Smith,TE,
1763,gregorton,Greg Orton,WR,
1373,genosmith,Geno Smith,QB,SEA
7162,ryanbecker,Ryan Becker,TE,
6358,kahlillewis,Kahlil Lewis,WR,
6768,tuatagovailoa,Tua Tagovailoa,QB,MIA
6130,devinsingletary,Devin Singletary,RB,NYG
3531,marshauncoprich,Marshaun Coprich,RB,
12276,rjmobley,RJ Mobley,WR,
5004,itosmith,Ito Smith,RB,DAL
4923,rushelshell,Rushel Shell,RB,
12356,jabarismall,Jabari Small,RB,TEN
6904,jalenhurts,Jalen Hurts,QB,PHI
2450,bretthundley,Brett Hundley,QB,
4797,joshrounds,Josh Rounds,RB,
1321,mikebrown,Mike Brown,WR,
2564,duroncarter,Duron Carter,WR,
7515,sergiocastillo,Sergio Castillo,K,
648,brandonmarshall,Brandon Marshall,WR,
454,chrisogbonnaya,Chris Ogbonnaya,RB,
7105,ramizahmed,Ramiz Ahmed,K,
1505,joshlenz,Josh Lenz,WR,
7097,trabarnett,Tra Barnett,RB,
7538,zachwilson,Zach Wilson,QB,DEN
2769,larrypinkard,Larry Pinkard,WR,
7561,elijahmitchell,Elijah Mitchell,RB,SF
7376,casecookus,Case Cookus,QB,
5129,adonisjennings,Adonis Jennings,WR,
5828,diontaespencer,Diontae Spencer,WR,
3209,devontaebooker,Devontae Booker,RB,
8409,tylersnead,Tyler Snead,WR,
3612,hakeemvalles,Hakeem Valles,TE,
1348,dustinhopkins,Dustin Hopkins,K,CLE
456,deonbutler,Deon Butler,TE,
256,rianlindell,Rian Lindell,K,
7458,isaiahzuber,Isaiah Zuber,WR,
11635,laddmcconkey,Ladd McConkey,WR,LAC
716,stevemaneri,Steve Maneri,TE,
11591,marshelmartin,Marshel Martin,TE,
8154,brianrobinson,Brian Robinson,RB,WAS
11060,robertburns,Robert Burns,RB,ATL
7427,tylermabry,Tyler Mabry,TE,SEA
515,robgronkowski,Rob Gronkowski,TE,
11806,caseywashington,Casey Washington,WR,ATL
5941,feltondavis,Felton Davis,WR,
6068,devineozigbo,Devine Ozigbo,RB,
6111,jakebrowning,Jake Browning,QB,CIN
5733,claytonwilson,Clayton Wilson,TE,
7102,masonfine,Mason Fine,QB,
8430,playerinvalid,Player Invalid,QB,
6018,zachgentry,Zach Gentry,TE,
4289,ishmaelzamora,Ishmael Zamora,WR,
6586,moralstephens,Moral Stephens,TE,
5569,johnnystanton,Johnny Stanton,RB,
5138,martezcarter,Martez Carter,RB,
2252,coreywashington,Corey Washington,WR,
1149,alshonjeffery,Alshon Jeffery,WR,
6663,micahwright,Micah Wright,WR,
7583,samehlinger,Sam Ehlinger,QB,IND
11622,playerinvalid,Player Invalid,WR,
6637,nicoevans,Nico Evans,RB,
2903,shanecarden,Shane Carden,QB,
3715,colewick,Cole Wick,TE,
7156,jmarsmith,J'Mar Smith,QB,
5284,jeffwilson,Jeff Wilson,RB,MIA
11510,hunterluepke,Hunter Luepke,RB,DAL
4445,keonhatcher,Keon Hatcher,WR,
6380,daviondavis,Davion Davis,WR,
3762,brandonshippen,Brandon Shippen,WR,
4744,barrettburns,Barrett Burns,TE,BAL
1109,chandlerharnish,Chandler Harnish,QB,
11620,romeodunze,Rome Odunze,WR,CHI
5289,cameronbatson,Cameron Batson,WR,
11602,brysonnesbit,Bryson Nesbit,TE,
6019,johnniedixon,Johnnie Dixon,WR,
2583,tyrellwilliams,Tyrell Williams,WR,
10232,michaelwilson,Michael Wilson,WR,ARI
1237,dominiquedavis,Dominique Davis,QB,
8575,erikkrommenhoek,Erik Krommenhoek,TE,
PIT,pittsburghsteelers,Unknown,DEF,PIT
1071,mohamedsanu,Mohamed Sanu,WR,
12435,georquariusspivey,Geor'Quarius Spivey,TE,
4200,deangeloyancey,DeAngelo Yancey,WR,
6804,jordanlove,Jordan Love,QB,GB
3225,tylerboyd,Tyler Boyd,WR,TEN
3922,montariohunter,Montario Hunter,WR,
2596,wessaxton,Wes Saxton,TE,
6260,jakepowell,Jake Powell,TE,
7874,jeremiahhaydel,Jeremiah Haydel,WR,
2119,jamesfranklin,James Franklin,QB,
11191,justinmarshall,Justin Marshall,WR,
5121,braxtonberrios,Braxton Berrios,WR,MIA
7093,adriankillins,Adrian Killins,RB,DEN
12360,latrealjones,Latreal Jones,WR,
24,mattryan,Matt Ryan,QB,
2257,carloshyde,Carlos Hyde,RB,
6083,mattgay,Matt Gay,K,IND
IND,indianapoliscolts,Unknown,DEF,IND
8236,jerrethsterns,Jerreth Sterns,WR,
11099,kearisjackson,Kearis Jackson,WR,
5263,chaselitton,Chase Litton,QB,
5267,jjjones,JJ Jones,WR,
8147,johnmetchie,John Metchie,WR,HOU
9483,zackkuntz,Zack Kuntz,TE,NYJ
5283,karaunwhite,Ka'Raun White,WR,
7956,cadejohnson,Cade Johnson,WR,
11592,erickall,Erick All,TE,CIN
7496,nickwestbrookikhine,Nick Westbrook-Ikhine,WR,TEN
810,ryanmallett,Ryan Mallett,QB,
11224,griffinhebert,Griffin Hebert,TE,
3634,kalifraymond,Kalif Raymond,WR,DET
12018,sampinckney,Sam Pinckney,WR,
5773,khadarelhodge,KhaDarel Hodge,WR,ATL
11520,luckyjackson,Lucky Jackson,WR,MIN
2940,deslawrence,Des Lawrence,WR,
4574,cooperrush,Cooper Rush,QB,DAL
626,jimdray,Jim Dray,TE,
5663,shanewimann,Shane Wimann,RB,
6205,brandonsilvers,Brandon Silvers,QB,
9998,hendonhooker,Hendon Hooker,QB,DET
8500,johnfitzpatrick,John FitzPatrick,TE,ATL
4037,chrisgodwin,Chris Godwin,WR,TB
5244,devingray,Devin Gray,WR,
4222,bradkaaya,Brad Kaaya,QB,
1709,fozzywhittaker,Fozzy Whittaker,RB,
11606,dallinholker,Dallin Holker,TE,NO
5137,richiejames,Richie James,WR,
7243,kevindavidson,Kevin Davidson,QB,
1503,michaelford,Michael Ford,RB,
8553,treford,Tre Ford,QB,
671,bradyquinn,Brady Quinn,QB,
12270,andrewpeasley,Andrew Peasley,QB,
6375,jeromewashington,Jerome Washington,TE,
1654,zachsudfeld,Zach Sudfeld,TE,
258,ronniebrown,Ronnie Brown,RB,
5013,anthonymiller,Anthony Miller,WR,BAL
1747,matthewmcgloin,Matthew McGloin,QB,
3710,jacebillingsley,Jace Billingsley,WR,
6017,damarkuslodge,DaMarkus Lodge,WR,
4874,chrisbazile,Chris Bazile,TE,
2682,christionjones,Christion Jones,WR,
4377,montaycrockett,Montay Crockett,WR,
7858,brendenknox,Brenden Knox,RB,
2146,richardrodgers,Richard Rodgers,TE,
11561,michaelpratt,Michael Pratt,QB,TB
5906,dawsonknox,Dawson Knox,TE,BUF
7812,simifehoko,Simi Fehoko,WR,LAC
1091,davidpaulson,David Paulson,TE,
2114,senoriseperry,Senorise Perry,RB,
5217,jasonreese,Jason Reese,TE,
12403,valentinoambrosio,Valentino Ambrosio,K,
7066,kjosborn,K.J. Osborn,WR,NE
1979,blakebortles,Blake Bortles,QB,NO
1104,devierposey,DeVier Posey,WR,
8008,joshimatorbhebhe,Josh Imatorbhebhe,WR,
8475,montrellwashington,Montrell Washington,WR,KC
6762,darionclark,Darion Clark,TE,
11921,xavierweaver,Xavier Weaver,WR,ARI
260,joshjohnson,Josh Johnson,QB,BAL
8113,playerinvalid,Player Invalid,RB,
2711,taylorheinicke,Taylor Heinicke,QB,LAC
6857,collinjohnson,Collin Johnson,WR,CHI
157,vinceyoung,Vince Young,QB,
8182,chaseallen,Chase Allen,TE,
1316,emiligwenagu,Emil Igwenagu,RB,
4157,tarikcohen,Tarik Cohen,RB,
